character_name,tmdb_id,actor_id
Woody (voice),862,31
Buzz Lightyear (voice),862,12898
Mr. Potato Head (voice),862,7167
Slinky Dog (voice),862,12899
Rex (voice),862,12900
Hamm (voice),862,7907
Bo Peep (voice),862,8873
Andy (voice),862,1116442
Sid (voice),862,12901
Mrs. Davis (voice),862,12133
Sergeant (voice),862,8655
Hannah (voice),862,12903
TV Announcer (voice),862,37221
Alan Parrish,8844,2157
Samuel Alan Parrish / Van Pelt,8844,8537
Judy Sheperd,8844,205
Peter Shepherd,8844,145151
Sarah Whittle,8844,5149
Nora Shepherd,8844,10739
Carl Bentley,8844,58563
Carol Anne Parrish,8844,1276
Alan Parrish (young),8844,46530
Sarah Whittle (young),8844,56523
Exterminator,8844,51551
Mrs. Thomas the Realtor,8844,56522
Benjamin,8844,1000304
Caleb,8844,188949
Billy Jessup,8844,1076551
Cop,8844,1480246
Bum,8844,25024
Jim Shepherd,8844,27110
Martha Shepherd,8844,53715
Gun Salesman,8844,1379424
Paramedic,8844,1235504
Paramedic,8844,25389
Girl,8844,1483449
Girl,8844,1483450
Baker,8844,1483451
Pianist,8844,1483452
Max Goldman,15602,6837
John Gustafson,15602,3151
Ariel Gustafson,15602,13567
Maria Sophia Coletta Ragetti,15602,16757
Melanie Gustafson,15602,589
Grandpa Gustafson,15602,16523
Jacob Goldman,15602,7166
Savannah 'Vannah' Jackson,31357,8851
Bernadine 'Bernie' Harris,31357,9780
Gloria 'Glo' Matthews,31357,18284
Robin Stokes,31357,51359
Marvin King,31357,66804
Kenneth Dawkins,31357,352
"John Harris, Sr.",31357,87118
Troy,31357,34
Joseph,31357,1276777
James Wheeler,31357,10814
George Banks,11862,67773
Nina Banks,11862,3092
Franck Eggelhoffer,11862,519
Annie Banks-MacKenzie,11862,70696
Bryan MacKenzie,11862,59222
Matty Banks,11862,18793
Howard Weinstein,11862,14592
John MacKenzie,11862,20906
Joanna MacKenzie,11862,54348
Dr. Megan Eisenberg,11862,209
Mr. Habib,11862,26510
Wife Mrs. Habib,11862,24358
Lt. Vincent Hanna,949,1158
Neil McCauley,949,380
Chris Shiherlis,949,5576
Nate,949,10127
Michael Cheritto,949,3197
Justine Hanna,949,6200
Eady,949,15851
Charlene Shiherlis,949,15852
Lauren Gustafson,949,524
Bosko,949,15854
Kelso,949,119232
Richard Torena,949,31004
Alan Marciano,949,5587
Detective Casals,949,15853
Trejo,949,11160
Hugh Benny,949,9290
Roger Van Zant,949,886
Waingro,949,34839
Elaine Cheritto,949,4158
Schwartz,949,86602
Albert Torena,949,158452
Dr. Bob,949,12799
Ralph,949,3982
Anna Trejo,949,181343
Armoured Guard,949,81687
Hooker's Mother,949,91756
Timmons,949,160970
Shooter at Drive-in,949,175600
Driver at Drive-in,949,12879
Officer Bruce,949,9258
Claudia,949,167501
Bosko's Date,949,95145
Sergeant Heinz,949,58535
Rachel,949,161939
Captain Jackson,949,6580
Harry Dieter,949,95796
Bank Guard,949,166543
Armoured Truck Driver,949,43010
Hostage Girl,949,37252
1st SIS Detective in the hallway (uncredited),949,1457709
"Solenko, Restaurant Manager (uncredited)",949,4971
Castilian Woman (uncredited),949,941147
Lillian,949,17358
Construction Clerk,949,4790
Children's Hospital Doctor,949,1090464
Dominick,949,1090465
Bartender,949,1576419
Casals' Date,949,106714
Marcia Drucker,949,116153
Armoured Guard,949,237923
Basketball Player,949,4047
Children's Hospital Nurse,949,57347
Detective,949,1576553
Prostitute,949,218094
Bar Couple (uncredited),949,1491009
Restaurant Patron (uncredited),949,1137847
Police Woman (uncredited),949,1504112
Grocery Store Employee (uncredited),949,1504568
Cusamano (uncredited),949,20625
Grocery Store Cop (uncredited),949,1502517
Waitress (uncredited),949,114625
Bank Guard (uncredited),949,1576562
Ellis (uncredited),949,1584544
Linus Larrabee,11860,3
Sabrina Fairchild,11860,15887
David Larrabee,11860,17141
Mrs. Ingrid Tyson,11860,4301
Maude Larrabee,11860,12957
Fairchild,11860,8937
Patrick Tyson,11860,16554
Elizabeth Tyson,11860,34485
Mack,11860,13314
Irene,11860,20234
Louis,11860,73827
Scott,11860,13242
Rosa,11860,1163
Joanna,11860,138242
Martine,11860,62531
Linda,11860,59206
Ron,11860,163775
Nurse,11860,452
Carol,11860,52475
Ticket Taker,11860,1853632
Singer at Larrabee Party,11860,1853633
Butler,11860,153226
Red Head,11860,1853634
Bartender,11860,28029
Kelly,11860,1853638
India,11860,97364
Make-Up Assistant,11860,1317065
Assistant,11860,6554
Model,11860,37918
Model,11860,1217813
Model,11860,1853644
Model,11860,1115935
Model,11860,1853645
Model,11860,1853646
Paris Friend,11860,76093
Paris Friend,11860,1853647
Paris Friend,11860,1853651
Paris Friend,11860,1853653
Paris Friend,11860,1460738
Paris Friend,11860,1853654
Helicopter Pilot,11860,1632066
Gulf Stream Pilot,11860,1853655
Sheik,11860,4184
Tyson Butler,11860,1853657
Mother in Hospital,11860,1853658
Father in Hospital,11860,1357100
Trainer,11860,157428
Secretary,11860,1211979
Moroccan Waiter,11860,1853660
Senator,11860,1853661
Japanese Businessman (uncredited),11860,1548251
Airport Employee (uncredited),11860,1221663
Head Butler (uncredited),11860,1811338
Businessman in Window (uncredited),11860,1853663
Wedding Guest (uncredited),11860,1099770
Pizza Patron (uncredited),11860,1853664
Ballroom Dancer (uncredited),11860,1853665
Tom Sawyer,45325,53283
Huck Finn,45325,51214
Becky Thatcher,45325,38581
Muff Potter,45325,8316
Aunt Polly,45325,87007
Injun Joe,45325,57448
Townsperson,45325,102313
Darren Francis Thomas McCord,9091,15111
Joshua Foss,9091,6280
Matthew Hallmark,9091,8656
Vizepräsident Daniel Bender,9091,10361
Tyler,9091,12928
Emily McCord,9091,79088
James Bond,710,517
Alec Trevelyan,710,48
Natalya Fyodorovna Simonova,710,10695
Xenia Onatopp,710,10696
