crew_id,gender,crew_name
7879,male,John Lasseter
12891,male,Joss Whedon
7,male,Andrew Stanton
12892,male,Joel Cohen
12893,non-binary,Alec Sokolow
12894,female,Bonnie Arnold
12895,non-binary,Ed Catmull
12896,male,Ralph Guggenheim
12897,male,Steve Jobs
8,male,Lee Unkrich
7883,male,Ralph Eggleston
1168870,male,Robert Gordon
1552883,non-binary,Mary Helen Leasman
1453514,non-binary,Kim Blanchette
1414182,non-binary,Marilyn McCoppen
7885,male,Randy Newman
1429549,non-binary,Dale E. Grahn
7949,non-binary,Robin Cooper
12890,male,Pete Docter
7911,non-binary,Joe Ranft
1629419,non-binary,Patsy Bouge
7961,non-binary,Norm DeCarlo
12905,male,Ash Brannon
1748707,non-binary,Roman Figun
4949,male,Don Davis
1372885,non-binary,James Flamberg
1739962,non-binary,Mary Beth Smith
1748513,non-binary,Rick Mackay
1458006,non-binary,Susan Bradley
1748557,non-binary,William Reeves
2216,male,Gary Rydstrom
12909,non-binary,Karen Robert Jackson
953331,non-binary,Chris Montan
7893,non-binary,Rich Quade
8025,non-binary,Michael Berenstein
78009,non-binary,Colin Brady
1748682,non-binary,Davey Crockett Feiten
1454030,non-binary,Angie Glocka
1748683,non-binary,Rex Grignon
1748684,non-binary,Tom K. Gurney
8029,male,Jimmy Hayward
1426773,non-binary,Hal T. Hickel
8035,non-binary,Karen Kiser
1748688,non-binary,Anthony B. LaMolinara
587314,non-binary,Guionne Leroy
7918,male,Bud Luckey
1748689,non-binary,Les Major
7892,male,Glenn McQueen
555795,non-binary,Mark Oftedal
7882,male,Jeff Pidgeon
8017,non-binary,Jeff Pratt
1184140,non-binary,Steve Rabatich
8049,non-binary,Roger Rose
1509559,non-binary,Steve Segal
1748691,non-binary,Doug Sheppeck
8050,non-binary,Alan Sperling
8010,non-binary,Doug Sweetland
8044,non-binary,David Tart
1454034,non-binary,Ken Willard
7887,non-binary,Thomas Porter
1406878,non-binary,Mark Thomas Henne
1748698,non-binary,Oren Jacob
1748699,non-binary,Darwyn Peachey
1748701,non-binary,Mitch Prater
1748703,non-binary,Brian M. Rosen
12912,female,Sharon Calahan
7899,non-binary,Galyn Susman
12915,non-binary,William Cone
1748705,non-binary,Shelley Daniels Lekven
7889,male,Bob Pauley
1748706,non-binary,Steve Johnson
