department,job,tmdb_id,crew_id
Directing,Director,862,7879
Writing,Screenplay,862,12891
Writing,Screenplay,862,7
Writing,Screenplay,862,12892
Writing,Screenplay,862,12893
Production,Producer,862,12894
Production,Executive Producer,862,12895
Production,Producer,862,12896
Production,Executive Producer,862,12897
Editing,Editor,862,8
Art,Art Direction,862,7883
Editing,Editor,862,1168870
Sound,Foley Editor,862,1552883
Visual Effects,Animation,862,1453514
Sound,ADR Editor,862,1414182
Sound,Orchestrator,862,7885
Editing,Color Timer,862,1429549
Visual Effects,CG Painter,862,7949
Writing,Original Story,862,12890
Writing,Original Story,862,7911
Crew,Post Production Supervisor,862,1629419
Art,Sculptor,862,7961
Visual Effects,Animation Director,862,12905
Directing,Layout,862,1748707
Sound,Orchestrator,862,4949
Sound,Music Editor,862,1372885
Editing,Negative Cutter,862,1739962
Editing,Negative Cutter,862,1748513
Art,Title Designer,862,1458006
Crew,Supervising Technical Director,862,1748557
Sound,Sound Designer,862,2216
Production,Production Supervisor,862,12909
Crew,Executive Music Producer,862,953331
Visual Effects,Animation Director,862,7893
Visual Effects,Animation,862,8025
Visual Effects,Animation,862,78009
Visual Effects,Animation,862,1748682
Visual Effects,Animation,862,1454030
Visual Effects,Animation,862,1748683
Visual Effects,Animation,862,1748684
Visual Effects,Animation,862,8029
Visual Effects,Animation,862,1426773
Visual Effects,Animation,862,8035
Visual Effects,Animation,862,1748688
Visual Effects,Animation,862,587314
Visual Effects,Animation,862,7918
Visual Effects,Animation,862,1748689
Visual Effects,Animation,862,7892
Visual Effects,Animation,862,555795
Visual Effects,Animation,862,7882
Visual Effects,Animation,862,8017
Visual Effects,Animation,862,1184140
Visual Effects,Animation,862,8049
Visual Effects,Animation,862,1509559
Visual Effects,Animation,862,1748691
Visual Effects,Animation,862,8050
Visual Effects,Animation,862,8010
Visual Effects,Animation,862,8044
Visual Effects,Animation,862,1454034
Visual Effects,Visual Effects Supervisor,862,7887
Visual Effects,Visual Effects,862,1406878
Visual Effects,Visual Effects,862,1748698
Visual Effects,Visual Effects,862,1748699
Visual Effects,Visual Effects,862,1748701
Visual Effects,Visual Effects,862,1748703
Lighting,Lighting Supervisor,862,12912
Lighting,Lighting Supervisor,862,7899
Visual Effects,CG Painter,862,12915
Art,Sculptor,862,1748705
Visual Effects,Character Designer,862,7889
Visual Effects,Character Designer,862,1748706
Visual Effects,Character Designer,862,1176752
Visual Effects,Character Designer,862,1088034
Visual Effects,Character Designer,862,1447465
Directing,Layout,862,1748709
Art,Set Dresser,862,1748710
Art,Set Dresser,862,1443471
Art,Set Dresser,862,1748711
Editing,Editorial Manager,862,1748712
Editing,Assistant Editor,862,1589729
Editing,Assistant Editor,862,1748716
Editing,Assistant Editor,862,1748717
Editing,Assistant Editor,862,1336438
Editing,Editorial Coordinator,862,1748718
Production,Production Coordinator,862,1748719
Production,Production Coordinator,862,1748720
Crew,Unit Publicist,862,1468014
Sound,Sound Re-Recording Mixer,862,1425978
Sound,Supervising Sound Editor,862,8276
Sound,Sound Effects Editor,862,7069
Crew,Sound Design Assistant,862,15894
Sound,Assistant Sound Editor,862,1414177
Sound,Assistant Sound Editor,862,1748724
Sound,Assistant Sound Editor,862,1748725
Sound,Assistant Sound Editor,862,8067
Production,Casting Consultant,862,7902
Production,ADR Voice Casting,862,84493
Production,Executive Producer,8844,511
Writing,Screenplay,8844,876
Sound,Original Music Composer,8844,1729
Directing,Director,8844,4945
Editing,Editor,8844,4951
Production,Casting,8844,4952
Visual Effects,Animation Supervisor,8844,8023
Art,Production Design,8844,9967
Production,Producer,8844,9184
Production,Executive Producer,8844,9196
Production,Executive Producer,8844,18389
Camera,Director of Photography,8844,11371
Writing,Novel,8844,42356
Production,Producer,8844,42357
Writing,Screenplay,8844,56520
Writing,Screenplay,8844,56521
Directing,Director,15602,26502
Writing,Characters,15602,16837
Crew,Sound Recordist,15602,1551320
Directing,Director,31357,2178
Writing,Screenplay,31357,5144
Production,Producer,31357,21968
Production,Producer,31357,70592
Writing,Screenplay,31357,111118
Sound,Original Music Composer,31357,1079697
Production,Producer,31357,1087695
Sound,Original Music Composer,11862,37
Camera,Director of Photography,11862,5506
Writing,Screenplay,11862,17698
Writing,Screenplay,11862,26160
Directing,Director,11862,56106
Editing,Editor,11862,68755
Directing,Director,949,638
Production,Producer,949,1254
Sound,Original Music Composer,949,5581
Camera,Director of Photography,949,11099
Editing,Editor,949,15840
Editing,Editor,949,15841
Editing,Editor,949,15842
Editing,Editor,949,1047
Production,Casting,949,897
Art,Production Design,949,11411
Art,Art Direction,949,15843
Costume & Make-Up,Costume Design,949,8527
Sound,Music Editor,949,1305
Sound,Supervising Sound Editor,949,14765
Crew,Special Effects Coordinator,949,15847
Crew,Special Effects,949,15848
Visual Effects,Visual Effects Supervisor,949,15849
Crew,Stunt Coordinator,949,13458
Crew,Stunts,949,15850
Art,Set Decoration,949,13677
Costume & Make-Up,Costume Supervisor,949,1535950
Directing,Script Supervisor,949,1478953
Production,Casting,949,1424046
Crew,Special Effects,949,1550830
Art,Art Department Coordinator,949,1479277
Art,Assistant Art Director,949,4727
Art,Construction Coordinator,949,1404308
Costume & Make-Up,Assistant Costume Designer,949,1535949
Costume & Make-Up,Hairstylist,949,8870
Costume & Make-Up,Hairstylist,949,16551
Costume & Make-Up,Key Hair Stylist,949,15846
Costume & Make-Up,Makeup Artist,949,15845
Costume & Make-Up,Makeup Artist,949,14653
Editing,Dialogue Editor,949,1535951
Editing,Dialogue Editor,949,1391385
Editing,Dialogue Editor,949,1406826
Sound,Supervising Sound Editor,949,1392084
Editing,Dialogue Editor,949,1392901
Camera,Camera Operator,949,1409831
Camera,Steadicam Operator,949,21118
Camera,Still Photographer,949,1412205
Camera,First Assistant Camera,949,1403479
Camera,First Assistant Camera,949,1347763
Lighting,Rigging Gaffer,949,1415635
Sound,Music Editor,949,1406905
Sound,Music Supervisor,949,75002
Editing,First Assistant Editor,949,60592
Editing,First Assistant Editor,949,1433743
Editing,First Assistant Editor,949,1405208
Editing,First Assistant Editor,949,1432026
Sound,Sound Re-Recording Mixer,949,1401687
Sound,Sound Re-Recording Mixer,949,16177
Sound,Sound Re-Recording Mixer,949,1368864
Sound,Sound Re-Recording Mixer,949,1338976
Sound,Sound Re-Recording Mixer,949,1544638
Crew,Stunts,949,1576553
Crew,Technical Supervisor,949,1457709
Crew,Stunts,949,1576562
Production,Executive Producer,949,639
Production,Associate Producer,949,944682
Production,Executive Producer,949,376
Production,Unit Production Manager,949,1494667
Directing,Assistant Director,949,212137
Production,Casting Associate,949,1535952
Costume & Make-Up,Set Costumer,949,1392142
Crew,Digital Effects Supervisor,949,548451
Crew,Stunts,949,142157
Crew,Sound Recordist,949,1629423
Sound,Additional Soundtrack,949,15178
Directing,Director,11860,2226
Writing,Screenplay,11860,70846
Sound,Original Music Composer,11860,491
Editing,Editor,11860,10640
Production,Producer,11860,2997
Production,Casting,11860,5490
Art,Production Design,11860,1718
Writing,Screenplay,11860,11056
Costume & Make-Up,Makeup Artist,11860,10199
Costume & Make-Up,Makeup Artist,11860,142152
Costume & Make-Up,Makeup Artist,11860,32489
Costume & Make-Up,Hairstylist,11860,83118
Costume & Make-Up,Hairstylist,11860,1565199
Costume & Make-Up,Co-Costume Designer,11860,543194
Costume & Make-Up,Costume Design,11860,5493
Art,Set Decoration,11860,18173
Art,Set Decoration,11860,1467272
Art,Art Department Coordinator,11860,1535947
Sound,Sound mixer,11860,91092
Sound,Sound Re-Recording Mixer,11860,1387195
Sound,Sound Re-Recording Mixer,11860,1368864
Sound,Sound Re-Recording Mixer,11860,1345595
Sound,Supervising Sound Effects Editor,11860,1404218
Sound,Sound Effects Editor,11860,1565200
Sound,Sound Effects Editor,11860,1565201
Sound,Supervising Sound Editor,11860,1392125
Sound,Boom Operator,11860,91096
Editing,Dialogue Editor,11860,95836
Editing,Dialogue Editor,11860,1555703
Editing,Dialogue Editor,11860,1399061
Directing,Script Supervisor,11860,1464541
Camera,Still Photographer,11860,1391583
Camera,Still Photographer,11860,1194262
Camera,Camera Operator,11860,20844
Camera,Director of Photography,11860,15131
Production,Casting Associate,11860,53346
Costume & Make-Up,Assistant Costume Designer,11860,957570
Costume & Make-Up,Assistant Costume Designer,11860,18513
Costume & Make-Up,Costume Supervisor,11860,1177713
Editing,First Assistant Editor,11860,1565207
Production,Executive Producer,11860,11058
Production,Executive Producer,11860,4184
Art,Art Direction,11860,17220
Production,Production Manager,11860,1582414
Production,Production Supervisor,11860,1748870
Production,Casting Assistant,11860,1853722
Production,Casting Associate,11860,1720
Production,Location Manager,11860,9028
Production,Location Manager,11860,1123059
Production,Production Coordinator,11860,1853729
Production,Production Coordinator,11860,1002581
Writing,Screenplay,45325,2075
Writing,Screenplay,45325,7775
Directing,Director,45325,18357
Writing,Novel,45325,72225
Directing,Director,9091,37710
Writing,Screenplay,9091,53300
